session,location,code_ocean_asset_id
713545_2024-04-12_11-45-06,s3://aind-open-data/713545_2024-04-12_11-45-06,7e109006-7a81-42c8-9b3c-9f1a8081f0da
713545_2024-04-13_11-17-48,s3://aind-open-data/713545_2024-04-13_11-17-48,93196694-c7b1-40c5-a90e-4e6c91c56be1
713545_2024-04-15_12-01-43,s3://aind-open-data/713545_2024-04-15_12-01-43,27d41317-0d1d-486d-b4bf-6c8df78e4016
713545_2024-04-16_12-44-50,s3://aind-open-data/713545_2024-04-16_12-44-50,91f80653-7cb2-4d31-874a-98816cc712ef
713545_2024-04-17_12-26-30,s3://aind-open-data/713545_2024-04-17_12-26-30,1c9a302a-ba8f-4608-94c7-d2669e60c475
713545_2024-04-18_12-30-00,s3://aind-open-data/713545_2024-04-18_12-30-00,b14bfe57-96cb-42fd-b04c-b4320d33fd13
713545_2024-04-19_12-12-51,s3://aind-open-data/713545_2024-04-19_12-12-51,42690f33-2a53-47d9-9285-cac274877e11
713545_2024-04-22_13-03-09,s3://aind-open-data/713545_2024-04-22_13-03-09,9c8cd56f-77ac-44db-b616-1472415b8938
713545_2024-04-23_11-30-36,s3://aind-open-data/713545_2024-04-23_11-30-36,c95f3c84-6e9d-4e4d-8939-8fa15c30d99b
713545_2024-04-24_11-58-00,s3://aind-open-data/713545_2024-04-24_11-58-00,f16a3f03-1c8e-49d2-a3ad-b6b4d7d6021b
713545_2024-04-25_12-17-34,s3://aind-open-data/713545_2024-04-25_12-17-34,270b58ef-e4d9-457d-8d5f-258ced005e6d
713545_2024-04-26_12-05-35,s3://aind-open-data/713545_2024-04-26_12-05-35,df30b35f-360e-4be9-ae2f-81e43ba7b7a3
713545_2024-04-29_11-37-25,s3://aind-open-data/713545_2024-04-29_11-37-25,57b78ef7-9815-47c9-a742-4f4f859b9422
713545_2024-04-30_12-08-13,s3://aind-open-data/713545_2024-04-30_12-08-13,18b8f54f-df4a-4431-bc70-3a9679a2c5e9
713545_2024-05-01_11-36-04,s3://aind-open-data/713545_2024-05-01_11-36-04,60bb83d8-4413-479f-9d33-0e590c16c003
713545_2024-05-02_12-02-00,s3://aind-open-data/713545_2024-05-02_12-02-00,69e9df65-56ce-46f1-8519-7b89f0ef5da5
713545_2024-05-03_11-34-04,s3://aind-open-data/713545_2024-05-03_11-34-04,2e0bdadc-8370-40ef-bc0a-01b00f004884
713545_2024-05-06_11-47-40,s3://aind-open-data/713545_2024-05-06_11-47-40,e479179d-38d0-48f9-a977-0e5d6b640afa
713545_2024-05-07_12-37-04,s3://aind-open-data/713545_2024-05-07_12-37-04,ca0406da-c324-4531-94ed-711f9e279692
713545_2024-05-08_12-23-13,s3://aind-open-data/713545_2024-05-08_12-23-13,ec917787-2e3d-4956-a5c9-7bcce36fdb01
713545_2024-05-09_11-07-02,s3://aind-open-data/713545_2024-05-09_11-07-02,0238ae73-926a-4552-b5d9-225574320275
713545_2024-05-10_12-24-23,s3://aind-open-data/713545_2024-05-10_12-24-23,8b6fb42a-8c4a-49ad-b661-9e0a01dcf777
713545_2024-05-13_13-22-16,s3://aind-open-data/713545_2024-05-13_13-22-16,d200b25d-f5dc-4adf-8f71-76e49d0879da
713545_2024-05-14_11-55-24,s3://aind-open-data/713545_2024-05-14_11-55-24,91b1e7ca-d7a5-4c11-b7b7-b3ef44ae88c4
713545_2024-05-15_11-25-11,s3://aind-open-data/713545_2024-05-15_11-25-11,a33156b5-3b06-4a00-8c73-46a946df429d
713545_2024-05-16_11-19-16,s3://aind-open-data/713545_2024-05-16_11-19-16,2f32c2fd-4433-4ae8-8927-f051377e4bea
713545_2024-05-17_10-44-51,s3://aind-open-data/713545_2024-05-17_10-44-51,75856b01-6dce-4373-b173-c118b2d41264
713545_2024-05-20_12-22-40,s3://aind-open-data/713545_2024-05-20_12-22-40,57dd935f-0990-40c0-9542-0fc453b57828
713545_2024-05-21_12-26-39,s3://aind-open-data/713545_2024-05-21_12-26-39,9f696aa8-3858-458b-bf24-a7d293bda208
713545_2024-05-22_11-25-02,s3://aind-open-data/713545_2024-05-22_11-25-02,b86d4fc6-044a-438e-92fe-adbb6bcf72aa
713545_2024-05-23_12-28-42,s3://aind-open-data/713545_2024-05-23_12-28-42,60909069-d494-47a0-8052-7c6a933a715a
713545_2024-05-24_11-33-06,s3://aind-open-data/713545_2024-05-24_11-33-06,e82e47c1-e736-49a2-8519-e65d4255b058
713545_2024-05-28_12-33-03,s3://aind-open-data/713545_2024-05-28_12-33-03,bce28908-4225-41dc-9b57-b1afc39be4e8
713545_2024-05-29_12-16-00,s3://aind-open-data/713545_2024-05-29_12-16-00,0458d37a-2016-4e3d-bcd5-8912dd7b3aca
713545_2024-05-30_12-04-36,s3://aind-open-data/713545_2024-05-30_12-04-36,a8d8aa30-6b3a-4edd-afa7-0a0ec67a0087
713545_2024-05-31_12-46-43,s3://aind-open-data/713545_2024-05-31_12-46-43,cf3d38c6-c3f9-434a-90cf-89c7b43ed9b6
713545_2024-06-03_14-30-37,s3://aind-open-data/713545_2024-06-03_14-30-37,1f8f8375-b8c2-47f4-a80f-df1b3077f5d9
713545_2024-06-04_14-24-11,s3://aind-open-data/713545_2024-06-04_14-24-11,5ee5adbf-913b-4f2f-858a-37da826ef092
713545_2024-06-05_14-34-46,s3://aind-open-data/713545_2024-06-05_14-34-46,0a93bd13-d487-4016-9009-ff33d21e6e82
713545_2024-06-06_13-30-23,s3://aind-open-data/713545_2024-06-06_13-30-23,4ffc09f9-726f-4c44-be15-eb0699f4744c
713545_2024-06-07_14-14-08,s3://aind-open-data/713545_2024-06-07_14-14-08,dce7842c-1743-4b2e-bd08-449adc7d7813
713545_2024-06-10_10-58-44,s3://aind-open-data/713545_2024-06-10_10-58-44,5a57aa50-60e6-4d5c-977b-2faec9a7c2cb
713545_2024-06-11_14-55-40,s3://aind-open-data/713545_2024-06-11_14-55-40,c4444fd9-fb2a-4057-8f56-e90ee34b6415
713545_2024-06-12_11-58-05,s3://aind-open-data/713545_2024-06-12_11-58-05,1704390b-372c-490a-887d-960c0f237530
713545_2024-06-13_12-30-36,s3://aind-open-data/713545_2024-06-13_12-30-36,ac13bac9-212e-4daa-9c07-3c64dc03e14c
713545_2024-06-14_11-49-55,s3://aind-open-data/713545_2024-06-14_11-49-55,0d0d4253-0861-4d65-bf58-27cd603ade1a
713545_2024-06-17_12-11-05,s3://aind-open-data/713545_2024-06-17_12-11-05,7613e1c5-913f-4661-8c56-443a73e97026
713545_2024-06-18_10-58-33,s3://aind-open-data/713545_2024-06-18_10-58-33,be82fd7a-9116-4a98-95f3-8278ed2d6d4c
713545_2024-06-19_12-00-23,s3://aind-open-data/713545_2024-06-19_12-00-23,e7757dbe-a2a1-43c5-a8d5-46dc254228b8
713545_2024-06-20_11-45-31,s3://aind-open-data/713545_2024-06-20_11-45-31,410a19ca-3285-47be-97af-e9ac7710170d
713545_2024-06-21_11-34-50,s3://aind-open-data/713545_2024-06-21_11-34-50,77a20e1c-2b4e-47c0-9aa5-eb28be6f369d
713545_2024-06-24_11-21-04,s3://aind-open-data/713545_2024-06-24_11-21-04,ac30c596-1ab3-4c24-beae-9fa91ae8031a
713545_2024-06-25_12-34-54,s3://aind-open-data/713545_2024-06-25_12-34-54,4c19b970-b2c8-440c-a80f-0dfbca6a3de1
713545_2024-06-26_11-38-49,s3://aind-open-data/713545_2024-06-26_11-38-49,d448e61f-c211-45ae-81e3-e22ea9077a79
713545_2024-06-27_11-49-02,s3://aind-open-data/713545_2024-06-27_11-49-02,52d1c272-c446-4cf4-8599-9ac356ba0a8e
713545_2024-06-28_11-48-16,s3://aind-open-data/713545_2024-06-28_11-48-16,7f735916-b007-4447-8c47-cb63d7b88dca
713578_2024-04-08_09-16-33,s3://aind-open-data/713578_2024-04-08_09-16-33,00d82872-572d-469c-9e83-3c7d9553ed42
713578_2024-04-09_10-02-29,s3://aind-open-data/713578_2024-04-09_10-02-29,4f826b42-aad8-4ec9-bf4d-3065e8e7ee6e
